Benchmark,Variant,Method,Cost
Storage,_Slowdown,Storage.buildTreeDepth,75.10%
Storage,_Slowdown,java.util.Arrays.setAll,11.86%
Storage,_Slowdown,som.Random.next,9.43%
Storage,_Slowdown,jdk.internal.misc.Unsafe.allocateInstance,1.51%
Storage,_Slowdown,Storage.lambda$buildTreeDepth$0,0.83%
Storage,_NoSlowdown,Storage.buildTreeDepth,54.49%
Storage,_NoSlowdown,java.util.Arrays.setAll,33.33%
Storage,_NoSlowdown,som.Random.next,4.90%
Storage,_NoSlowdown,Storage$$Lambda.apply,2.71%
Storage,_NoSlowdown,jdk.internal.misc.Unsafe.allocateInstance,2.67%
Towers,_Slowdown,Towers.popDiskFrom,28.93%
Towers,_Slowdown,Towers$TowersDisk.getSize,17.92%
Towers,_Slowdown,Towers.pushDisk,17.25%
Towers,_Slowdown,Towers.moveDisks,16.49%
Towers,_Slowdown,Towers$TowersDisk.setNext,9.90%
Towers,_NoSlowdown,Towers.moveDisks,76.42%
Towers,_NoSlowdown,Towers.popDiskFrom,9.61%
Towers,_NoSlowdown,Towers.pushDisk,5.18%
Towers,_NoSlowdown,Towers$TowersDisk.setNext,3.91%
Towers,_NoSlowdown,Towers.moveTopDisk,3.39%
